,_id,name,followers,genres,popularity
0,74ASZWbe4lXaubB36ztrGX,Bob Dylan,1329250,"['album rock', 'classic rock', 'folk', 'folk christmas', 'folk rock', 'folk-pop', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",73
1,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,1082823,"['dance pop', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",81
2,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,4098218,"['pop', 'vegas indie']",86
3,2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,567578,['contemporary country'],78
4,6f3a43i1MJZwdjEpV1M0oH,Demon Hunter,86787,"['alternative metal', 'christian alternative rock', 'christian christmas', 'christian metal', 'christian rock', 'groove metal', 'heavy christmas', 'melodic death metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",55
5,2ye2Wgw4gimLv2eAKyk1NB,Metallica,3151140,"['alternative metal', 'alternative rock', 'hard rock', 'metal', 'rock', 'speed metal', 'thrash metal']",80
6,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,3948937,['pop punk'],86
7,3Nrfpe0tUJi4K4DXYWgMUX,BTS,1042124,[],80
8,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,703524,"['dirty south rap', 'dwn trap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",84
9,4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,1099634,"['contemporary country', 'country', 'country christmas', 'country dawn', 'country road', 'dance pop', 'neo mellow', 'pop', 'pop christmas', 'post-teen pop']",72
10,3UpIbyXfGzmHG6TMH4dJEk,Aimee Mann,60361,"['anti-folk', 'folk', 'folk christmas', 'folk-pop', 'indie rock', 'lilith', 'new wave pop', 'permanent wave', 'pop christmas', 'pop rock', 'singer-songwriter']",53
11,4YLtscXsxbVgi031ovDDdh,Chris Stapleton,356079,"['contemporary country', 'country', 'country road']",68
12,1RyvyyTE3xzB2ZywiAwp0i,Future,2518310,"['dwn trap', 'rap', 'southern hip hop', 'trap music']",93
13,3TVXtAsR1Inumwj472S9r4,Drake,9546376,"['canadian pop', 'hip hop', 'pop rap', 'rap']",100
14,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,74650,"['contemporary country', 'country', 'country road']",68
15,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,1136294,"['album rock', 'british blues', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",75
16,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,39339,[],81
17,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,5334092,"['dance pop', 'hip pop', 'pop', 'pop rap']",90
18,6oMuImdp5ZcFhWP0ESe6mG,Migos,1054287,"['dwn trap', 'pop rap', 'rap', 'trap music']",89
19,0c173mlxpT3dSFRgMO8XPh,Big Sean,2013424,"['detroit hip hop', 'dwn trap', 'pop rap', 'rap', 'trap music']",87
20,26VFTg2z8YR0cCuwLzESi2,Halsey,1514569,"['dance pop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",83
21,5Berubt6ysOy2LCMyqhmXP,YFN Lucci,145468,"['deep pop r&b', 'dwn trap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",71
22,0u2FHSq3ln94y5Q57xazwf,Keith Urban,792555,"['australian country', 'contemporary country', 'country', 'country christmas', 'country road', 'neo mellow', 'pop rock']",73
23,6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,421571,"['contemporary country', 'country', 'country road', 'modern country rock']",74
24,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,8904496,"['canadian pop', 'dance pop', 'pop', 'pop christmas', 'post-teen pop']",89
25,6MDME20pz9RveH9rEXvrOM,Clean Bandit,572250,"['dance pop', 'pop', 'tropical house', 'uk funky']",85
26,6vWDO969PvNqNYHIOW5v0m,Beyoncé,6571447,"['dance pop', 'pop', 'r&b']",84
27,3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney,812626,"['contemporary country', 'country', 'country christmas', 'country road', 'pop christmas', 'pop rock']",71
28,79FMDwzZQxHgSkIYBl3ODU,Trace Adkins,217094,"['contemporary country', 'country', 'country christmas', 'country road', 'modern country rock', 'redneck', 'traditional country']",59
29,5WUlDfRSoLAfcVSX1WnrxN,Sia,3531582,"['australian dance', 'dance pop', 'pop']",86
30,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,1768411,"['hip hop', 'indie r&b', 'pop rap', 'rap']",80
31,66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,693513,"['contemporary country', 'country', 'country dawn', 'country road']",70
32,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,3964397,"['dance pop', 'pop', 'post-teen pop']",87
33,7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,503413,"['contemporary country', 'country', 'country road']",73
34,6roFdX1y5BYSbp60OTJWMd,Tim McGraw,856188,"['contemporary country', 'country', 'country road']",74
35,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,393169,[],68
36,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,9880553,"['dance pop', 'pop', 'pop christmas', 'r&b', 'soul christmas', 'urban contemporary']",90
37,04gDigrS5kc9YWfZHwBETP,Maroon 5,7753352,"['dance pop', 'pop', 'pop christmas']",87
38,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,2417964,"['pop', 'tropical house']",93
39,40LHVA5BTQp9RxHOQ9JPYj,Lauren Daigle,155119,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",61
40,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,2705504,"['dance pop', 'pop', 'pop christmas', 'post-teen pop']",81
41,1xHQO9GJIW9OXHxGBISYc5,Marian Hill,239418,['indie r&b'],73
42,0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,1529736,"['contemporary country', 'country', 'country christmas', 'country road']",77
43,7CajNmpbOovFoOoasH2HaY,Calvin Harris,5980463,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house']",87
